Time;MoteID;State;Value;TotalTicks;Permil
180262000;1;CPU;330792;  60000000 ;5
180262000;1;LPM;59669208;  60000000 ;994
180262000;1;Deep LPM;0;  60000000 ;0
180262000;1;Radio Tx;154728;  60000000 ;2
180262000;1;Radio Rx;57595272;  60000000 ;959
180262000;1;Radio total;57750000;  60000000 ;962
180383000;5;CPU;456432;  60000000 ;7
180383000;5;LPM;59543568;  60000000 ;992
180383000;5;Deep LPM;0;  60000000 ;0
180383000;5;Radio Tx;249112;  60000000 ;4
180383000;5;Radio Rx;52772584;  60000000 ;879
180383000;5;Radio total;53021696;  60000000 ;883
180390000;7;CPU;221408;  60000000 ;3
180390000;7;LPM;59778592;  60000000 ;996
180390000;7;Deep LPM;0;  60000000 ;0
180390000;7;Radio Tx;51256;  60000000 ;0
180390000;7;Radio Rx;58598744;  60000000 ;976
180390000;7;Radio total;58650000;  60000000 ;977
180527000;3;CPU;214264;  60000000 ;3
180527000;3;LPM;59785736;  60000000 ;996
180527000;3;Deep LPM;0;  60000000 ;0
180527000;3;Radio Tx;80016;  60000000 ;1
180527000;3;Radio Rx;58147584;  60000000 ;969
180527000;3;Radio total;58227600;  60000000 ;970
180576000;6;CPU;131504;  60000000 ;2
180576000;6;LPM;59868496;  60000000 ;997
180576000;6;Deep LPM;0;  60000000 ;0
180576000;6;Radio Tx;52352;  60000000 ;0
180576000;6;Radio Rx;46302688;  60000000 ;771
180576000;6;Radio total;46355040;  60000000 ;772
180739000;2;CPU;157800;  60000000 ;2
180739000;2;LPM;59842200;  60000000 ;997
180739000;2;Deep LPM;0;  60000000 ;0
180739000;2;Radio Tx;57552;  60000000 ;0
180739000;2;Radio Rx;57242448;  60000000 ;954
180739000;2;Radio total;57300000;  60000000 ;955
180858000;4;CPU;43336;  60000000 ;0
180858000;4;LPM;59956664;  60000000 ;999
180858000;4;Deep LPM;0;  60000000 ;0
180858000;4;Radio Tx;10240;  60000000 ;0
