Time;MoteID;State;Value;TotalTicks;Permil
180262000;1;CPU;1434976;  60000000 ;23
180262000;1;LPM;58565024;  60000000 ;976
180262000;1;Deep LPM;0;  60000000 ;0
180262000;1;Radio Tx;678576;  60000000 ;11
180262000;1;Radio Rx;58571424;  60000000 ;976
180262000;1;Radio total;59250000;  60000000 ;987
180383000;5;CPU;896904;  60000000 ;14
180383000;5;LPM;59103096;  60000000 ;985
180383000;5;Deep LPM;0;  60000000 ;0
180383000;5;Radio Tx;218736;  60000000 ;3
180383000;5;Radio Rx;59481264;  60000000 ;991
180383000;5;Radio total;59700000;  60000000 ;995
180390000;7;CPU;1836080;  60000000 ;30
180390000;7;LPM;58163920;  60000000 ;969
180390000;7;Deep LPM;0;  60000000 ;0
180390000;7;Radio Tx;832160;  60000000 ;13
180390000;7;Radio Rx;58867840;  60000000 ;981
180390000;7;Radio total;59700000;  60000000 ;995
180527000;3;CPU;981616;  60000000 ;16
180527000;3;LPM;59018384;  60000000 ;983
180527000;3;Deep LPM;0;  60000000 ;0
180527000;3;Radio Tx;70608;  60000000 ;1
180527000;3;Radio Rx;59629392;  60000000 ;993
180527000;3;Radio total;59700000;  60000000 ;995
180576000;6;CPU;273320;  60000000 ;4
180576000;6;LPM;59726680;  60000000 ;995
180576000;6;Deep LPM;0;  60000000 ;0
180576000;6;Radio Tx;129096;  60000000 ;2
180576000;6;Radio Rx;51072920;  60000000 ;851
180576000;6;Radio total;51202016;  60000000 ;853
180661000;4;CPU;877496;  60000000 ;14
180661000;4;LPM;59122504;  60000000 ;985
180661000;4;Deep LPM;0;  60000000 ;0
180661000;4;Radio Tx;383248;  60000000 ;6
180661000;4;Radio Rx;59016752;  60000000 ;983
180661000;4;Radio total;59400000;  60000000 ;990
180739000;2;CPU;519704;  60000000 ;8
180739000;2;LPM;59480296;  60000000 ;991
180739000;2;Deep LPM;0;  60000000 ;0
180739000;2;Radio Tx;65504;  60000000 ;1
180739000;2;Radio Rx;59634496;  60000000 ;993
180739000;2;Radio total;59700000;  60000000 ;995
180858000;8;CPU;2092600;  60000000 ;34
180858000;8;LPM;57907400;  60000000 ;965
180858000;8;Deep LPM;0;  60000000 ;0
180858000;8;Radio Tx;1060080;  60000000 ;17
180858000;8;Radio Rx;58639920;  60000000 ;977
180858000;8;Radio total;59700000;  60000000 ;995
240262000;1;CPU;1343152;  60000000 ;22
240262000;1;LPM;58656848;  60000000 ;977
240262000;1;Deep LPM;0;  60000000 ;0
240262000;1;Radio Tx;636728;  60000000 ;10
240262000;1;Radio Rx;58613272;  60000000 ;976
240262000;1;Radio total;59250000;  60000000 ;987
240383000;5;CPU;827296;  60000000 ;13
240383000;5;LPM;59172704;  60000000 ;986
240383000;5;Deep LPM;0;  60000000 ;0
240383000;5;Radio Tx;190840;  60000000 ;3
240383000;5;Radio Rx;59059160;  60000000 ;984
240383000;5;Radio total;59250000;  60000000 ;987
240390400;7;CPU;1724464;  60000400 ;28
240390400;7;LPM;58275936;  60000400 ;971
240390400;7;Deep LPM;0;  60000400 ;0
240390400;7;Radio Tx;776976;  60000400 ;12
240390400;7;Radio Rx;58773424;  60000400 ;979
240390400;7;Radio total;59550400;  60000400 ;992
240527000;3;CPU;953616;  60000000 ;15
240527000;3;LPM;59046384;  60000000 ;984
240527000;3;Deep LPM;0;  60000000 ;0
240527000;3;Radio Tx;73368;  60000000 ;1
240527000;3;Radio Rx;59330392;  60000000 ;988
240527000;3;Radio total;59403760;  60000000 ;990
240576000;6;CPU;197840;  60000000 ;3
240576000;6;LPM;59802160;  60000000 ;996
240576000;6;Deep LPM;0;  60000000 ;0
240576000;6;Radio Tx;88352;  60000000 ;1
240576000;6;Radio Rx;49395208;  60000000 ;823
240576000;6;Radio total;49483560;  60000000 ;824
240661000;4;CPU;823824;  60000000 ;13
240661000;4;LPM;59176176;  60000000 ;986
240661000;4;Deep LPM;0;  60000000 ;0
240661000;4;Radio Tx;354224;  60000000 ;5
240661000;4;Radio Rx;58895776;  60000000 ;981
240661000;4;Radio total;59250000;  60000000 ;987
240739000;2;CPU;516672;  60000000 ;8
240739000;2;LPM;59483328;  60000000 ;991
240739000;2;Deep LPM;0;  60000000 ;0
240739000;2;Radio Tx;68328;  60000000 ;1
240739000;2;Radio Rx;59331672;  60000000 ;988
240739000;2;Radio total;59400000;  60000000 ;990
240858000;8;CPU;2076824;  60000000 ;34
240858000;8;LPM;57923176;  60000000 ;965
240858000;8;Deep LPM;0;  60000000 ;0
240858000;8;Radio Tx;1051696;  60000000 ;17
240858000;8;Radio Rx;58498304;  60000000 ;974
240858000;8;Radio total;59550000;  60000000 ;992
300262000;1;CPU;1439728;  60000000 ;23
300262000;1;LPM;58560272;  60000000 ;976
300262000;1;Deep LPM;0;  60000000 ;0
300262000;1;Radio Tx;683280;  60000000 ;11
300262000;1;Radio Rx;58416720;  60000000 ;973
300262000;1;Radio total;59100000;  60000000 ;985
300383000;5;CPU;882728;  60000000 ;14
300383000;5;LPM;59117272;  60000000 ;985
300383000;5;Deep LPM;0;  60000000 ;0
300383000;5;Radio Tx;209224;  60000000 ;3
300383000;5;Radio Rx;58892680;  60000000 ;981
300383000;5;Radio total;59101904;  60000000 ;985
300390000;7;CPU;1819152;  59999600 ;30
300390000;7;LPM;58180448;  59999600 ;969
300390000;7;Deep LPM;0;  59999600 ;0
300390000;7;Radio Tx;828368;  59999600 ;13
300390000;7;Radio Rx;58271232;  59999600 ;971
300390000;7;Radio total;59099600;  59999600 ;984
300527000;3;CPU;975864;  60000000 ;16
300527000;3;LPM;59024136;  60000000 ;983
300527000;3;Deep LPM;0;  60000000 ;0
300527000;3;Radio Tx;68616;  60000000 ;1
300527000;3;Radio Rx;59031384;  60000000 ;983
300527000;3;Radio total;59100000;  60000000 ;985
300576000;6;CPU;254080;  60000000 ;4
300576000;6;LPM;59745920;  60000000 ;995
300576000;6;Deep LPM;0;  60000000 ;0
300576000;6;Radio Tx;119712;  60000000 ;1
300576000;6;Radio Rx;49138088;  60000000 ;818
300576000;6;Radio total;49257800;  60000000 ;820
300661000;4;CPU;868720;  60000000 ;14
300661000;4;LPM;59131280;  60000000 ;985
300661000;4;Deep LPM;0;  60000000 ;0
300661000;4;Radio Tx;376392;  60000000 ;6
300661000;4;Radio Rx;58573608;  60000000 ;976
300661000;4;Radio total;58950000;  60000000 ;982
300739000;2;CPU;517952;  60000000 ;8
300739000;2;LPM;59482048;  60000000 ;991
300739000;2;Deep LPM;0;  60000000 ;0
300739000;2;Radio Tx;69608;  60000000 ;1
300739000;2;Radio Rx;59030392;  60000000 ;983
300739000;2;Radio total;59100000;  60000000 ;985
300858000;8;CPU;2028200;  60000000 ;33
300858000;8;LPM;57971800;  60000000 ;966
300858000;8;Deep LPM;0;  60000000 ;0
300858000;8;Radio Tx;1023968;  60000000 ;17
300858000;8;Radio Rx;58076032;  60000000 ;967
300858000;8;Radio total;59100000;  60000000 ;985
360262000;1;CPU;1379096;  60000000 ;22
360262000;1;LPM;58620904;  60000000 ;977
360262000;1;Deep LPM;0;  60000000 ;0
360262000;1;Radio Tx;657456;  60000000 ;10
360262000;1;Radio Rx;58892544;  60000000 ;981
360262000;1;Radio total;59550000;  60000000 ;992
360383000;5;CPU;856584;  60000000 ;14
360383000;5;LPM;59143416;  60000000 ;985
360383000;5;Deep LPM;0;  60000000 ;0
360383000;5;Radio Tx;213080;  60000000 ;3
360383000;5;Radio Rx;59486920;  60000000 ;991
360383000;5;Radio total;59700000;  60000000 ;995
360390000;7;CPU;1706096;  60000000 ;28
360390000;7;LPM;58293904;  60000000 ;971
360390000;7;Deep LPM;0;  60000000 ;0
360390000;7;Radio Tx;767592;  60000000 ;12
360390000;7;Radio Rx;59082408;  60000000 ;984
360390000;7;Radio total;59850000;  60000000 ;997
360527000;3;CPU;960232;  60000000 ;16
360527000;3;LPM;59039768;  60000000 ;983
360527000;3;Deep LPM;0;  60000000 ;0
360527000;3;Radio Tx;91984;  60000000 ;1
360527000;3;Radio Rx;59784336;  60000000 ;996
360527000;3;Radio total;59876320;  60000000 ;997
360576000;6;CPU;244080;  60000000 ;4
360576000;6;LPM;59755920;  60000000 ;995
360576000;6;Deep LPM;0;  60000000 ;0
360576000;6;Radio Tx;109360;  60000000 ;1
360576000;6;Radio Rx;52269864;  60000000 ;871
360576000;6;Radio total;52379224;  60000000 ;872
360661000;4;CPU;831112;  60000000 ;13
360661000;4;LPM;59168888;  60000000 ;986
360661000;4;Deep LPM;0;  60000000 ;0
360661000;4;Radio Tx;360896;  60000000 ;6
360661000;4;Radio Rx;59189104;  60000000 ;986
360661000;4;Radio total;59550000;  60000000 ;992
360739000;2;CPU;494136;  60000000 ;8
360739000;2;LPM;59505864;  60000000 ;991
360739000;2;Deep LPM;0;  60000000 ;0
360739000;2;Radio Tx;62680;  60000000 ;1
360739000;2;Radio Rx;59637320;  60000000 ;993
360739000;2;Radio total;59700000;  60000000 ;995
360858000;8;CPU;1993520;  60000000 ;33
360858000;8;LPM;58006480;  60000000 ;966
