Time;MoteID;State;Value;TotalTicks;Permil
120262000;1;Energest  ] CPU;528080;  60000000 ;8
120262000;1;Energest  ] LPM;59471920;  60000000 ;991
120262000;1;Energest  ] Deep LPM;0;  60000000 ;0
120262000;1;Energest  ] Radio Tx;380360;  60000000 ;6
120262000;1;Energest  ] Radio Rx;59619640;  60000000 ;993
120262000;1;Energest  ] Radio total;60000000;  60000000 ;1000
120383000;5;Energest  ] CPU;1043512;  60000000 ;17
120383000;5;Energest  ] LPM;58956488;  60000000 ;982
120383000;5;Energest  ] Deep LPM;0;  60000000 ;0
120383000;5;Energest  ] Radio Tx;745072;  60000000 ;12
120383000;5;Energest  ] Radio Rx;59254928;  60000000 ;987
120383000;5;Energest  ] Radio total;60000000;  60000000 ;1000
120390000;7;Energest  ] CPU;875488;  60000000 ;14
120390000;7;Energest  ] LPM;59124512;  60000000 ;985
120390000;7;Energest  ] Deep LPM;0;  60000000 ;0
120390000;7;Energest  ] Radio Tx;625160;  60000000 ;10
120390000;7;Energest  ] Radio Rx;59374840;  60000000 ;989
120390000;7;Energest  ] Radio total;60000000;  60000000 ;1000
120527000;3;Energest  ] CPU;92720;  60000000 ;1
120527000;3;Energest  ] LPM;59907280;  60000000 ;998
120527000;3;Energest  ] Deep LPM;0;  60000000 ;0
120527000;3;Energest  ] Radio Tx;65472;  60000000 ;1
120527000;3;Energest  ] Radio Rx;59934528;  60000000 ;998
120527000;3;Energest  ] Radio total;60000000;  60000000 ;1000
120576000;6;Energest  ] CPU;88392;  60000000 ;1
120576000;6;Energest  ] LPM;59911608;  60000000 ;998
120576000;6;Energest  ] Deep LPM;0;  60000000 ;0
120576000;6;Energest  ] Radio Tx;63336;  60000000 ;1
120576000;6;Energest  ] Radio Rx;59936664;  60000000 ;998
120576000;6;Energest  ] Radio total;60000000;  60000000 ;1000
120739000;2;Energest  ] CPU;97384;  60000000 ;1
120739000;2;Energest  ] LPM;59902616;  60000000 ;998
120739000;2;Energest  ] Deep LPM;0;  60000000 ;0
120739000;2;Energest  ] Radio Tx;64592;  60000000 ;1
