Time;MoteID;State;Value;TotalTicks;Permil
180565000;11;CPU;149064;  60000000 ;2
180565000;11;LPM;59850936;  60000000 ;997
180565000;11;Deep LPM;0;  60000000 ;0
180565000;11;Radio Tx;72152;  60000000 ;1
180565000;11;Radio Rx;46597992;  60000000 ;776
180565000;11;Radio total;46670144;  60000000 ;777
180758000;10;CPU;122736;  60000000 ;2
180758000;10;LPM;59877264;  60000000 ;997
180758000;10;Deep LPM;0;  60000000 ;0
180758000;10;Radio Tx;54448;  60000000 ;0
180758000;10;Radio Rx;49895552;  60000000 ;831
180758000;10;Radio total;49950000;  60000000 ;832
240565000;11;CPU;21600;  60000000 ;0
240565000;11;LPM;59978400;  60000000 ;999
240565000;11;Deep LPM;0;  60000000 ;0
240565000;11;Radio Tx;5600;  60000000 ;0
240565000;11;Radio Rx;38100000;  60000000 ;635
240565000;11;Radio total;38105600;  60000000 ;635
240758000;10;CPU;28600;  60000000 ;0
240758000;10;LPM;59971400;  60000000 ;999
240758000;10;Deep LPM;0;  60000000 ;0
240758000;10;Radio Tx;5600;  60000000 ;0
240758000;10;Radio Rx;42147200;  60000000 ;702
240758000;10;Radio total;42152800;  60000000 ;702
300565000;11;CPU;34600;  60000000 ;0
300565000;11;LPM;59965400;  60000000 ;999
300565000;11;Deep LPM;0;  60000000 ;0
300565000;11;Radio Tx;5600;  60000000 ;0
300565000;11;Radio Rx;41847200;  60000000 ;697
300565000;11;Radio total;41852800;  60000000 ;697
300758000;10;CPU;28600;  60000000 ;0
300758000;10;LPM;59971400;  60000000 ;999
300758000;10;Deep LPM;0;  60000000 ;0
300758000;10;Radio Tx;5600;  60000000 ;0
300758000;10;Radio Rx;39663200;  60000000 ;661
300758000;10;Radio total;39668800;  60000000 ;661
360565000;11;CPU;27800;  60000000 ;0
360565000;11;LPM;59972200;  60000000 ;999
360565000;11;Deep LPM;0;  60000000 ;0
360565000;11;Radio Tx;2800;  60000000 ;0
360565000;11;Radio Rx;42747200;  60000000 ;712
360565000;11;Radio total;42750000;  60000000 ;712
360758000;10;CPU;29600;  60000000 ;0
360758000;10;LPM;59970400;  60000000 ;999
360758000;10;Deep LPM;0;  60000000 ;0
360758000;10;Radio Tx;5600;  60000000 ;0
360758000;10;Radio Rx;41928400;  60000000 ;698
360758000;10;Radio total;41934000;  60000000 ;698
420565000;11;CPU;42400;  60000000 ;0
420565000;11;LPM;59957600;  60000000 ;999
420565000;11;Deep LPM;0;  60000000 ;0
420565000;11;Radio Tx;8400;  60000000 ;0
420565000;11;Radio Rx;45444400;  60000000 ;757
420565000;11;Radio total;45452800;  60000000 ;757
420758000;10;CPU;31600;  60000000 ;0
420758000;10;LPM;59968400;  60000000 ;999
420758000;10;Deep LPM;0;  60000000 ;0
420758000;10;Radio Tx;5600;  60000000 ;0
420758000;10;Radio Rx;43494400;  60000000 ;724
420758000;10;Radio total;43500000;  60000000 ;725
480565000;11;CPU;95888;  60000000 ;1
480565000;11;LPM;59904112;  60000000 ;998
480565000;11;Deep LPM;0;  60000000 ;0
480565000;11;Radio Tx;32408;  60000000 ;0
480565000;11;Radio Rx;48230592;  60000000 ;803
480565000;11;Radio total;48263000;  60000000 ;804
480758000;10;CPU;221456;  60000000 ;3
480758000;10;LPM;59778544;  60000000 ;996
480758000;10;Deep LPM;0;  60000000 ;0
480758000;10;Radio Tx;115944;  60000000 ;1
480758000;10;Radio Rx;48111080;  60000000 ;801
480758000;10;Radio total;48227024;  60000000 ;803
540565000;11;CPU;30360;  60000000 ;0
540565000;11;LPM;59969640;  60000000 ;999
540565000;11;Deep LPM;0;  60000000 ;0
540565000;11;Radio Tx;5600;  60000000 ;0
540565000;11;Radio Rx;42781400;  60000000 ;713
540565000;11;Radio total;42787000;  60000000 ;713
540758000;10;CPU;27600;  60000000 ;0
540758000;10;LPM;59972400;  60000000 ;999
540758000;10;Deep LPM;0;  60000000 ;0
540758000;10;Radio Tx;5600;  60000000 ;0
540758000;10;Radio Rx;42514200;  60000000 ;708
540758000;10;Radio total;42519800;  60000000 ;708
600565000;11;CPU;41696;  60000000 ;0
600565000;11;LPM;59958304;  60000000 ;999
600565000;11;Deep LPM;0;  60000000 ;0
600565000;11;Radio Tx;6696;  60000000 ;0
600565000;11;Radio Rx;48234304;  60000000 ;803
600565000;11;Radio total;48241000;  60000000 ;804
600758000;10;CPU;31600;  60000000 ;0
600758000;10;LPM;59968400;  60000000 ;999
600758000;10;Deep LPM;0;  60000000 ;0
600758000;10;Radio Tx;5600;  60000000 ;0
600758000;10;Radio Rx;42647000;  60000000 ;710
600758000;10;Radio total;42652600;  60000000 ;710
660565000;11;CPU;29896;  60000000 ;0
660565000;11;LPM;59970104;  60000000 ;999
660565000;11;Deep LPM;0;  60000000 ;0
660565000;11;Radio Tx;3896;  60000000 ;0
660565000;11;Radio Rx;42507904;  60000000 ;708
660565000;11;Radio total;42511800;  60000000 ;708
660758000;10;CPU;30600;  60000000 ;0
660758000;10;LPM;59969400;  60000000 ;999
660758000;10;Deep LPM;0;  60000000 ;0
660758000;10;Radio Tx;5600;  60000000 ;0
660758000;10;Radio Rx;41034200;  60000000 ;683
660758000;10;Radio total;41039800;  60000000 ;683
720565000;11;CPU;33400;  60000000 ;0
720565000;11;LPM;59966600;  60000000 ;999
720565000;11;Deep LPM;0;  60000000 ;0
720565000;11;Radio Tx;8400;  60000000 ;0
720565000;11;Radio Rx;42827400;  60000000 ;713
720565000;11;Radio total;42835800;  60000000 ;713
720758000;10;CPU;38400;  60000000 ;0
720758000;10;LPM;59961600;  60000000 ;999
720758000;10;Deep LPM;0;  60000000 ;0
720758000;10;Radio Tx;8400;  60000000 ;0
720758000;10;Radio Rx;44007400;  60000000 ;733
720758000;10;Radio total;44015800;  60000000 ;733
780565000;11;CPU;62312;  60000000 ;1
780565000;11;LPM;59937688;  60000000 ;998
780565000;11;Deep LPM;0;  60000000 ;0
780565000;11;Radio Tx;26928;  60000000 ;0
780565000;11;Radio Rx;41142872;  60000000 ;685
780565000;11;Radio total;41169800;  60000000 ;686
780758000;10;CPU;25800;  60000000 ;0
780758000;10;LPM;59974200;  60000000 ;999
780758000;10;Deep LPM;0;  60000000 ;0
780758000;10;Radio Tx;2800;  60000000 ;0
780758000;10;Radio Rx;43200000;  60000000 ;720
780758000;10;Radio total;43202800;  60000000 ;720
840565000;11;CPU;316536;  60000000 ;5
840565000;11;LPM;59683464;  60000000 ;994
840565000;11;Deep LPM;0;  60000000 ;0
840565000;11;Radio Tx;162152;  60000000 ;2
840565000;11;Radio Rx;51529528;  60000000 ;858
840565000;11;Radio total;51691680;  60000000 ;861
840758000;10;CPU;288488;  60000000 ;4
840758000;10;LPM;59711512;  60000000 ;995
840758000;10;Deep LPM;0;  60000000 ;0
840758000;10;Radio Tx;139208;  60000000 ;2
840758000;10;Radio Rx;55377896;  60000000 ;922
840758000;10;Radio total;55517104;  60000000 ;925
900565000;11;CPU;33600;  60000000 ;0
900565000;11;LPM;59966400;  60000000 ;999
900565000;11;Deep LPM;0;  60000000 ;0
900565000;11;Radio Tx;5600;  60000000 ;0
900565000;11;Radio Rx;44514200;  60000000 ;741
900565000;11;Radio total;44519800;  60000000 ;741
900758000;10;CPU;44496;  60000000 ;0
900758000;10;LPM;59955504;  60000000 ;999
900758000;10;Deep LPM;0;  60000000 ;0
900758000;10;Radio Tx;9496;  60000000 ;0
900758000;10;Radio Rx;45890504;  60000000 ;764
900758000;10;Radio total;45900000;  60000000 ;765
960565000;11;CPU;52600;  60000000 ;0
960565000;11;LPM;59947400;  60000000 ;999
960565000;11;Deep LPM;0;  60000000 ;0
960565000;11;Radio Tx;5600;  60000000 ;0
960565000;11;Radio Rx;50746400;  60000000 ;845
960565000;11;Radio total;50752000;  60000000 ;845
960758000;10;CPU;33696;  60000000 ;0
960758000;10;LPM;59966304;  60000000 ;999
960758000;10;Deep LPM;0;  60000000 ;0
960758000;10;Radio Tx;6696;  60000000 ;0
960758000;10;Radio Rx;45446104;  60000000 ;757
960758000;10;Radio total;45452800;  60000000 ;757
1020565000;11;CPU;39600;  60000000 ;0
1020565000;11;LPM;59960400;  60000000 ;999
1020565000;11;Deep LPM;0;  60000000 ;0
1020565000;11;Radio Tx;5600;  60000000 ;0
1020565000;11;Radio Rx;47342400;  60000000 ;789
1020565000;11;Radio total;47348000;  60000000 ;789
1020758000;10;CPU;26600;  60000000 ;0
1020758000;10;LPM;59973400;  60000000 ;999
1020758000;10;Deep LPM;0;  60000000 ;0
1020758000;10;Radio Tx;5600;  60000000 ;0
1020758000;10;Radio Rx;42744400;  60000000 ;712
1020758000;10;Radio total;42750000;  60000000 ;712
1080565000;11;CPU;38400;  60000000 ;0
1080565000;11;LPM;59961600;  60000000 ;999
1080565000;11;Deep LPM;0;  60000000 ;0
1080565000;11;Radio Tx;8400;  60000000 ;0
1080565000;11;Radio Rx;43678600;  60000000 ;727
1080565000;11;Radio total;43687000;  60000000 ;728
1080758000;10;CPU;38600;  60000000 ;0
1080758000;10;LPM;59961400;  60000000 ;999
1080758000;10;Deep LPM;0;  60000000 ;0
1080758000;10;Radio Tx;5600;  60000000 ;0
1080758000;10;Radio Rx;43494400;  60000000 ;724
1080758000;10;Radio total;43500000;  60000000 ;725
1140565000;11;CPU;52528;  60000000 ;0
1140565000;11;LPM;59947472;  60000000 ;999
1140565000;11;Deep LPM;0;  60000000 ;0
1140565000;11;Radio Tx;16000;  60000000 ;0
1140565000;11;Radio Rx;45699800;  60000000 ;761
1140565000;11;Radio total;45715800;  60000000 ;761
1140758000;10;CPU;20800;  60000000 ;0
1140758000;10;LPM;59979200;  60000000 ;999
1140758000;10;Deep LPM;0;  60000000 ;0
1140758000;10;Radio Tx;2800;  60000000 ;0
1140758000;10;Radio Rx;41287200;  60000000 ;688
1140758000;10;Radio total;41290000;  60000000 ;688
1200565000;11;CPU;213504;  60000000 ;3
1200565000;11;LPM;59786496;  60000000 ;996
1200565000;11;Deep LPM;0;  60000000 ;0
1200565000;11;Radio Tx;102664;  60000000 ;1
1200565000;11;Radio Rx;51512936;  60000000 ;858
1200565000;11;Radio total;51615600;  60000000 ;860
1200758000;10;CPU;166232;  60000000 ;2
1200758000;10;LPM;59833768;  60000000 ;997
1200758000;10;Deep LPM;0;  60000000 ;0
1200758000;10;Radio Tx;83848;  60000000 ;1
1200758000;10;Radio Rx;46521488;  60000000 ;775
1200758000;10;Radio total;46605336;  60000000 ;776
1260565000;11;CPU;17800;  60000000 ;0
1260565000;11;LPM;59982200;  60000000 ;999
1260565000;11;Deep LPM;0;  60000000 ;0
1260565000;11;Radio Tx;2800;  60000000 ;0
1260565000;11;Radio Rx;38547200;  60000000 ;642
1260565000;11;Radio total;38550000;  60000000 ;642
1260758000;10;CPU;51376;  60000000 ;0
1260758000;10;LPM;59948624;  60000000 ;999
1260758000;10;Deep LPM;0;  60000000 ;0
1260758000;10;Radio Tx;21200;  60000000 ;0
1260758000;10;Radio Rx;41737800;  60000000 ;695
1260758000;10;Radio total;41759000;  60000000 ;695
1320565000;11;CPU;32600;  60000000 ;0
1320565000;11;LPM;59967400;  60000000 ;999
1320565000;11;Deep LPM;0;  60000000 ;0
1320565000;11;Radio Tx;5600;  60000000 ;0
1320565000;11;Radio Rx;44515200;  60000000 ;741
1320565000;11;Radio total;44520800;  60000000 ;742
1320758000;10;CPU;31600;  60000000 ;0
1320758000;10;LPM;59968400;  60000000 ;999
1320758000;10;Deep LPM;0;  60000000 ;0
1320758000;10;Radio Tx;5600;  60000000 ;0
1320758000;10;Radio Rx;43644400;  60000000 ;727
1320758000;10;Radio total;43650000;  60000000 ;727
1380565000;11;CPU;23600;  60000000 ;0
1380565000;11;LPM;59976400;  60000000 ;999
1380565000;11;Deep LPM;0;  60000000 ;0
1380565000;11;Radio Tx;5600;  60000000 ;0
1380565000;11;Radio Rx;38582000;  60000000 ;643
1380565000;11;Radio total;38587600;  60000000 ;643
