Time;MoteID;State;Value;TotalTicks;Permil
180024000;10;CPU;378168;  60000000 ;6
180024000;10;LPM;59621832;  60000000 ;993
180024000;10;Deep LPM;0;  60000000 ;0
180024000;10;Radio Tx;191328;  60000000 ;3
180024000;10;Radio Rx;51977216;  60000000 ;866
180024000;10;Radio total;52168544;  60000000 ;869
180132000;13;CPU;2014512;  60000000 ;33
180132000;13;LPM;57985488;  60000000 ;966
180132000;13;Deep LPM;0;  60000000 ;0
180132000;13;Radio Tx;491400;  60000000 ;8
180132000;13;Radio Rx;59508600;  60000000 ;991
180132000;13;Radio total;60000000;  60000000 ;1000
180256000;7;CPU;860872;  60000000 ;14
180256000;7;LPM;59139128;  60000000 ;985
180256000;7;Deep LPM;0;  60000000 ;0
180256000;7;Radio Tx;78432;  60000000 ;1
180256000;7;Radio Rx;59921568;  60000000 ;998
180256000;7;Radio total;60000000;  60000000 ;1000
180409000;9;CPU;3908312;  60000000 ;65
180409000;9;LPM;56091688;  60000000 ;934
180409000;9;Deep LPM;0;  60000000 ;0
180409000;9;Radio Tx;1781424;  60000000 ;29
180409000;9;Radio Rx;58218576;  60000000 ;970
180409000;9;Radio total;60000000;  60000000 ;1000
180426000;11;CPU;224272;  60000000 ;3
180426000;11;LPM;59775728;  60000000 ;996
180426000;11;Deep LPM;0;  60000000 ;0
180426000;11;Radio Tx;99352;  60000000 ;1
180426000;11;Radio Rx;51537584;  60000000 ;858
180426000;11;Radio total;51636936;  60000000 ;860
180433000;3;CPU;1443960;  60000000 ;24
180433000;3;LPM;58556040;  60000000 ;975
180433000;3;Deep LPM;0;  60000000 ;0
180433000;3;Radio Tx;221680;  60000000 ;3
180433000;3;Radio Rx;59778320;  60000000 ;996
180433000;3;Radio total;60000000;  60000000 ;1000
180455000;1;CPU;2759704;  60000000 ;45
180455000;1;LPM;57240296;  60000000 ;954
180455000;1;Deep LPM;0;  60000000 ;0
180455000;1;Radio Tx;1329464;  60000000 ;22
180455000;1;Radio Rx;58670536;  60000000 ;977
180455000;1;Radio total;60000000;  60000000 ;1000
180529000;5;CPU;899128;  60000000 ;14
180529000;5;LPM;59100872;  60000000 ;985
180529000;5;Deep LPM;0;  60000000 ;0
180529000;5;Radio Tx;271456;  60000000 ;4
180529000;5;Radio Rx;59728544;  60000000 ;995
180529000;5;Radio total;60000000;  60000000 ;1000
180599000;12;CPU;3845040;  60000000 ;64
180599000;12;LPM;56154960;  60000000 ;935
180599000;12;Deep LPM;0;  60000000 ;0
180599000;12;Radio Tx;1792296;  60000000 ;29
180599000;12;Radio Rx;58207704;  60000000 ;970
180599000;12;Radio total;60000000;  60000000 ;1000
180871000;6;CPU;681240;  60000000 ;11
180871000;6;LPM;59318760;  60000000 ;988
180871000;6;Deep LPM;0;  60000000 ;0
180871000;6;Radio Tx;97552;  60000000 ;1
180871000;6;Radio Rx;59902448;  60000000 ;998
180871000;6;Radio total;60000000;  60000000 ;1000
180963000;4;CPU;2014368;  60000000 ;33
180963000;4;LPM;57985632;  60000000 ;966
180963000;4;Deep LPM;0;  60000000 ;0
180963000;4;Radio Tx;673888;  60000000 ;11
180963000;4;Radio Rx;59326112;  60000000 ;988
180963000;4;Radio total;60000000;  60000000 ;1000
180997000;2;CPU;2785968;  60000000 ;46
180997000;2;LPM;57214032;  60000000 ;953
180997000;2;Deep LPM;0;  60000000 ;0
180997000;2;Radio Tx;622984;  60000000 ;10
180997000;2;Radio Rx;59377016;  60000000 ;989
180997000;2;Radio total;60000000;  60000000 ;1000
240024000;10;CPU;298176;  60000000 ;4
240024000;10;LPM;59701824;  60000000 ;995
240024000;10;Deep LPM;0;  60000000 ;0
240024000;10;Radio Tx;134776;  60000000 ;2
240024000;10;Radio Rx;53153584;  60000000 ;885
240024000;10;Radio total;53288360;  60000000 ;888
240132000;13;CPU;2022504;  60000000 ;33
240132000;13;LPM;57977496;  60000000 ;966
240132000;13;Deep LPM;0;  60000000 ;0
240132000;13;Radio Tx;527840;  60000000 ;8
240132000;13;Radio Rx;59472160;  60000000 ;991
