Time;MoteID;State;Value;TotalTicks;Permil
180024000;10;CPU;11908672;  60000000 ;198
180024000;10;LPM;48091328;  60000000 ;801
180024000;10;Deep LPM;0;  60000000 ;0
180024000;10;Radio Tx;7196600;  60000000 ;119
180024000;10;Radio Rx;51628088;  60000000 ;860
180024000;10;Radio total;58824688;  60000000 ;980
180132000;13;CPU;1654616;  60000000 ;27
180132000;13;LPM;58345384;  60000000 ;972
180132000;13;Deep LPM;0;  60000000 ;0
180132000;13;Radio Tx;478760;  60000000 ;7
180132000;13;Radio Rx;59371240;  60000000 ;989
180132000;13;Radio total;59850000;  60000000 ;997
180256000;7;CPU;889432;  60000000 ;14
180256000;7;LPM;59110568;  60000000 ;985
180256000;7;Deep LPM;0;  60000000 ;0
180256000;7;Radio Tx;113504;  60000000 ;1
180256000;7;Radio Rx;59739496;  60000000 ;995
180256000;7;Radio total;59853000;  60000000 ;997
180412640;9;CPU;3395216;  60003640 ;56
180412640;9;LPM;56608424;  60003640 ;943
180412640;9;Deep LPM;0;  60003640 ;0
180412640;9;Radio Tx;1624272;  60003640 ;27
180412640;9;Radio Rx;58229368;  60003640 ;970
180412640;9;Radio total;59853640;  60003640 ;997
180426000;11;CPU;1892296;  60000000 ;31
180426000;11;LPM;58107704;  60000000 ;968
180426000;11;Deep LPM;0;  60000000 ;0
180426000;11;Radio Tx;37184;  60000000 ;0
180426000;11;Radio Rx;58912816;  60000000 ;981
180426000;11;Radio total;58950000;  60000000 ;982
180433144;3;CPU;1015144;  60000144 ;16
180433144;3;LPM;58985000;  60000144 ;983
180433144;3;Deep LPM;0;  60000144 ;0
180433144;3;Radio Tx;104200;  60000144 ;1
180433144;3;Radio Rx;59895944;  60000144 ;998
180433144;3;Radio total;60000144;  60000144 ;1000
180455000;1;CPU;2135064;  60000000 ;35
180455000;1;LPM;57864936;  60000000 ;964
180455000;1;Deep LPM;0;  60000000 ;0
180455000;1;Radio Tx;994232;  60000000 ;16
180455000;1;Radio Rx;58855768;  60000000 ;980
180455000;1;Radio total;59850000;  60000000 ;997
180529000;5;CPU;2280848;  60000000 ;38
180529000;5;LPM;57719152;  60000000 ;961
180529000;5;Deep LPM;0;  60000000 ;0
180529000;5;Radio Tx;116224;  60000000 ;1
180529000;5;Radio Rx;59883776;  60000000 ;998
180529000;5;Radio total;60000000;  60000000 ;1000
180603400;12;CPU;3302784;  60004400 ;55
180603400;12;LPM;56701616;  60004400 ;944
180603400;12;Deep LPM;0;  60004400 ;0
180603400;12;Radio Tx;1518976;  60004400 ;25
180603400;12;Radio Rx;58335424;  60004400 ;972
180603400;12;Radio total;59854400;  60004400 ;997
180871000;6;CPU;306800;  60000000 ;5
180871000;6;LPM;59693200;  60000000 ;994
180871000;6;Deep LPM;0;  60000000 ;0
180871000;6;Radio Tx;93568;  60000000 ;1
180871000;6;Radio Rx;56756432;  60000000 ;945
180871000;6;Radio total;56850000;  60000000 ;947
180963000;4;CPU;1813544;  60000000 ;30
180963000;4;LPM;58186456;  60000000 ;969
180963000;4;Deep LPM;0;  60000000 ;0
180963000;4;Radio Tx;709088;  60000000 ;11
180963000;4;Radio Rx;59140912;  60000000 ;985
180963000;4;Radio total;59850000;  60000000 ;997
180997000;2;CPU;2380472;  60000000 ;39
180997000;2;LPM;57619528;  60000000 ;960
180997000;2;Deep LPM;0;  60000000 ;0
180997000;2;Radio Tx;527784;  60000000 ;8
180997000;2;Radio Rx;59322216;  60000000 ;988
180997000;2;Radio total;59850000;  60000000 ;997
240024000;10;CPU;11328752;  60000000 ;188
240024000;10;LPM;48671248;  60000000 ;811
240024000;10;Deep LPM;0;  60000000 ;0
240024000;10;Radio Tx;6915752;  60000000 ;115
240024000;10;Radio Rx;50687048;  60000000 ;844
240024000;10;Radio total;57602800;  60000000 ;960
240256000;7;CPU;906032;  60000000 ;15
240256000;7;LPM;59093968;  60000000 ;984
240256000;7;Deep LPM;0;  60000000 ;0
240256000;7;Radio Tx;116864;  60000000 ;1
240256000;7;Radio Rx;59883136;  60000000 ;998
240256000;7;Radio total;60000000;  60000000 ;1000
240426000;11;CPU;1968288;  60000000 ;32
240426000;11;LPM;58031712;  60000000 ;967
240426000;11;Deep LPM;0;  60000000 ;0
240426000;11;Radio Tx;122616;  60000000 ;2
240426000;11;Radio Rx;57502944;  60000000 ;958
240426000;11;Radio total;57625560;  60000000 ;960
240433000;3;CPU;1025400;  59999856 ;17
240433000;3;LPM;58974456;  59999856 ;982
240433000;3;Deep LPM;0;  59999856 ;0
240433000;3;Radio Tx;111992;  59999856 ;1
240433000;3;Radio Rx;59887864;  59999856 ;998
240433000;3;Radio total;59999856;  59999856 ;1000
240455000;1;CPU;2165464;  60000000 ;36
240455000;1;LPM;57834536;  60000000 ;963
240455000;1;Deep LPM;0;  60000000 ;0
240455000;1;Radio Tx;1013432;  60000000 ;16
240455000;1;Radio Rx;58986568;  60000000 ;983
240455000;1;Radio total;60000000;  60000000 ;1000
240529000;5;CPU;2174280;  60000000 ;36
240529000;5;LPM;57825720;  60000000 ;963
240529000;5;Deep LPM;0;  60000000 ;0
240529000;5;Radio Tx;103888;  60000000 ;1
240529000;5;Radio Rx;59896112;  60000000 ;998
240529000;5;Radio total;60000000;  60000000 ;1000
240600144;12;CPU;3287168;  59996744 ;54
240600144;12;LPM;56709576;  59996744 ;945
240600144;12;Deep LPM;0;  59996744 ;0
240600144;12;Radio Tx;1523560;  59996744 ;25
240600144;12;Radio Rx;58473184;  59996744 ;974
240600144;12;Radio total;59996744;  59996744 ;1000
240871000;6;CPU;272816;  60000000 ;4
240871000;6;LPM;59727184;  60000000 ;995
240871000;6;Deep LPM;0;  60000000 ;0
240871000;6;Radio Tx;95760;  60000000 ;1
240871000;6;Radio Rx;50311760;  60000000 ;838
