Time;MoteID;State;Value;TotalTicks;Permil
180024000;10;CPU;289528;  60000000 ;4
180024000;10;LPM;59710472;  60000000 ;995
180024000;10;Deep LPM;0;  60000000 ;0
180024000;10;Radio Tx;133416;  60000000 ;2
180024000;10;Radio Rx;55545568;  60000000 ;925
180024000;10;Radio total;55678984;  60000000 ;927
180132000;13;CPU;2033752;  60000000 ;33
180132000;13;LPM;57966248;  60000000 ;966
180132000;13;Deep LPM;0;  60000000 ;0
180132000;13;Radio Tx;506336;  60000000 ;8
180132000;13;Radio Rx;59493664;  60000000 ;991
180132000;13;Radio total;60000000;  60000000 ;1000
180256000;7;CPU;849664;  60000000 ;14
180256000;7;LPM;59150336;  60000000 ;985
180256000;7;Deep LPM;0;  60000000 ;0
180256000;7;Radio Tx;83256;  60000000 ;1
180256000;7;Radio Rx;59916744;  60000000 ;998
180256000;7;Radio total;60000000;  60000000 ;1000
180409000;9;CPU;3906032;  60000000 ;65
180409000;9;LPM;56093968;  60000000 ;934
180409000;9;Deep LPM;0;  60000000 ;0
180409000;9;Radio Tx;1783104;  60000000 ;29
180409000;9;Radio Rx;58216896;  60000000 ;970
180409000;9;Radio total;60000000;  60000000 ;1000
180426000;11;CPU;317008;  60000000 ;5
180426000;11;LPM;59682992;  60000000 ;994
180426000;11;Deep LPM;0;  60000000 ;0
180426000;11;Radio Tx;150720;  60000000 ;2
180426000;11;Radio Rx;56296304;  60000000 ;938
180426000;11;Radio total;56447024;  60000000 ;940
180433000;3;CPU;1435856;  60000000 ;23
180433000;3;LPM;58564144;  60000000 ;976
180433000;3;Deep LPM;0;  60000000 ;0
180433000;3;Radio Tx;222728;  60000000 ;3
180433000;3;Radio Rx;59777272;  60000000 ;996
180433000;3;Radio total;60000000;  60000000 ;1000
180455000;1;CPU;2694944;  59994600 ;44
180455000;1;LPM;57299656;  59994600 ;955
180455000;1;Deep LPM;0;  59994600 ;0
180455000;1;Radio Tx;1298384;  59994600 ;21
180455000;1;Radio Rx;58546216;  59994600 ;975
180455000;1;Radio total;59844600;  59994600 ;997
180529000;5;CPU;829032;  60000000 ;13
180529000;5;LPM;59170968;  60000000 ;986
180529000;5;Deep LPM;0;  60000000 ;0
180529000;5;Radio Tx;235760;  60000000 ;3
180529000;5;Radio Rx;59614240;  60000000 ;993
180529000;5;Radio total;59850000;  60000000 ;997
180599000;12;CPU;3772752;  60000000 ;62
180599000;12;LPM;56227248;  60000000 ;937
180599000;12;Deep LPM;0;  60000000 ;0
180599000;12;Radio Tx;1752600;  60000000 ;29
180599000;12;Radio Rx;58097400;  60000000 ;968
180599000;12;Radio total;59850000;  60000000 ;997
180871000;6;CPU;622216;  60000000 ;10
180871000;6;LPM;59377784;  60000000 ;989
180871000;6;Deep LPM;0;  60000000 ;0
180871000;6;Radio Tx;75680;  60000000 ;1
180871000;6;Radio Rx;59774320;  60000000 ;996
180871000;6;Radio total;59850000;  60000000 ;997
180963000;4;CPU;1940320;  60000000 ;32
180963000;4;LPM;58059680;  60000000 ;967
180963000;4;Deep LPM;0;  60000000 ;0
180963000;4;Radio Tx;644984;  60000000 ;10
180963000;4;Radio Rx;59355016;  60000000 ;989
180963000;4;Radio total;60000000;  60000000 ;1000
180997000;2;CPU;2749256;  60000000 ;45
180997000;2;LPM;57250744;  60000000 ;954
180997000;2;Deep LPM;0;  60000000 ;0
180997000;2;Radio Tx;613176;  60000000 ;10
180997000;2;Radio Rx;59236824;  60000000 ;987
180997000;2;Radio total;59850000;  60000000 ;997
240426000;11;CPU;211328;  60000000 ;3
240455000;1;CPU;2633392;  60000000 ;43
240455000;1;LPM;57366608;  60000000 ;956
240455000;1;Deep LPM;0;  60000000 ;0
240455000;1;Radio Tx;1267184;  60000000 ;21
240455000;1;Radio Rx;58732816;  60000000 ;978
240455000;1;Radio total;60000000;  60000000 ;1000
300024000;10;CPU;216552;  60000000 ;3
300024000;10;LPM;59783448;  60000000 ;996
300024000;10;Deep LPM;0;  60000000 ;0
300024000;10;Radio Tx;90448;  60000000 ;1
300024000;10;Radio Rx;53624592;  60000000 ;893
300024000;10;Radio total;53715040;  60000000 ;895
300132000;13;CPU;1935824;  60000000 ;32
300132000;13;LPM;58064176;  60000000 ;967
300132000;13;Deep LPM;0;  60000000 ;0
300132000;13;Radio Tx;479792;  60000000 ;7
300132000;13;Radio Rx;59385008;  60000000 ;989
300132000;13;Radio total;59864800;  60000000 ;997
300256000;7;CPU;847360;  60000000 ;14
