Time;MoteID;State;Value;TotalTicks;Permil
60024000;10;CPU;60000000;  60000000 ;1000
60024000;10;LPM;0;  60000000 ;0
60024000;10;Deep LPM;0;  60000000 ;0
60024000;10;Radio Tx;26400;  60000000 ;0
60024000;10;Radio Rx;59973600;  60000000 ;999
60024000;10;Radio total;60000000;  60000000 ;1000
60132000;13;CPU;60000000;  60000000 ;1000
60132000;13;LPM;0;  60000000 ;0
60132000;13;Deep LPM;0;  60000000 ;0
60132000;13;Radio Tx;128768;  60000000 ;2
60132000;13;Radio Rx;59871232;  60000000 ;997
60132000;13;Radio total;60000000;  60000000 ;1000
60256000;7;CPU;60000000;  60000000 ;1000
60256000;7;LPM;0;  60000000 ;0
60256000;7;Deep LPM;0;  60000000 ;0
60256000;7;Radio Tx;28600;  60000000 ;0
60256000;7;Radio Rx;59971400;  60000000 ;999
60256000;7;Radio total;60000000;  60000000 ;1000
60409000;9;CPU;60000000;  60000000 ;1000
60409000;9;LPM;0;  60000000 ;0
60409000;9;Deep LPM;0;  60000000 ;0
60409000;9;Radio Tx;63592;  60000000 ;1
60409000;9;Radio Rx;59936408;  60000000 ;998
60409000;9;Radio total;60000000;  60000000 ;1000
60426000;11;CPU;60000000;  60000000 ;1000
60426000;11;LPM;0;  60000000 ;0
60426000;11;Deep LPM;0;  60000000 ;0
60426000;11;Radio Tx;5600;  60000000 ;0
60426000;11;Radio Rx;59994400;  60000000 ;999
60426000;11;Radio total;60000000;  60000000 ;1000
60433000;3;CPU;60000000;  60000000 ;1000
60433000;3;LPM;0;  60000000 ;0
60433000;3;Deep LPM;0;  60000000 ;0
60433000;3;Radio Tx;40976;  60000000 ;0
60433000;3;Radio Rx;59959024;  60000000 ;999
60433000;3;Radio total;60000000;  60000000 ;1000
60455000;1;CPU;60000000;  60000000 ;1000
60455000;1;LPM;0;  60000000 ;0
60455000;1;Deep LPM;0;  60000000 ;0
60455000;1;Radio Tx;83192;  60000000 ;1
60455000;1;Radio Rx;59916808;  60000000 ;998
60455000;1;Radio total;60000000;  60000000 ;1000
60529000;5;CPU;60000000;  60000000 ;1000
60529000;5;LPM;0;  60000000 ;0
60529000;5;Deep LPM;0;  60000000 ;0
60529000;5;Radio Tx;52712;  60000000 ;0
60529000;5;Radio Rx;59947288;  60000000 ;999
60529000;5;Radio total;60000000;  60000000 ;1000
60599000;12;CPU;60000000;  60000000 ;1000
60599000;12;LPM;0;  60000000 ;0
60599000;12;Deep LPM;0;  60000000 ;0
60599000;12;Radio Tx;61784;  60000000 ;1
60599000;12;Radio Rx;59938216;  60000000 ;998
60599000;12;Radio total;60000000;  60000000 ;1000
60871000;6;CPU;60000000;  60000000 ;1000
60871000;6;LPM;0;  60000000 ;0
60871000;6;Deep LPM;0;  60000000 ;0
60871000;6;Radio Tx;49960;  60000000 ;0
60871000;6;Radio Rx;59950040;  60000000 ;999
60871000;6;Radio total;60000000;  60000000 ;1000
60963000;4;CPU;60000000;  60000000 ;1000
60963000;4;LPM;0;  60000000 ;0
60963000;4;Deep LPM;0;  60000000 ;0
60963000;4;Radio Tx;53008;  60000000 ;0
60963000;4;Radio Rx;59946992;  60000000 ;999
60963000;4;Radio total;60000000;  60000000 ;1000
60997000;2;CPU;60000000;  60000000 ;1000
60997000;2;LPM;0;  60000000 ;0
60997000;2;Deep LPM;0;  60000000 ;0
60997000;2;Radio Tx;187688;  60000000 ;3
60997000;2;Radio Rx;59812312;  60000000 ;996
60997000;2;Radio total;60000000;  60000000 ;1000
120024000;10;CPU;60000000;  60000000 ;1000
120024000;10;LPM;0;  60000000 ;0
120024000;10;Deep LPM;0;  60000000 ;0
120024000;10;Radio Tx;104632;  60000000 ;1
120024000;10;Radio Rx;59895368;  60000000 ;998
120024000;10;Radio total;60000000;  60000000 ;1000
120256000;7;CPU;60000000;  60000000 ;1000
120256000;7;LPM;0;  60000000 ;0
120256000;7;Deep LPM;0;  60000000 ;0
120256000;7;Radio Tx;64648;  60000000 ;1
120256000;7;Radio Rx;59935352;  60000000 ;998
120256000;7;Radio total;60000000;  60000000 ;1000
120426000;11;CPU;60000000;  60000000 ;1000
120426000;11;LPM;0;  60000000 ;0
120426000;11;Deep LPM;0;  60000000 ;0
120426000;11;Radio Tx;109792;  60000000 ;1
120426000;11;Radio Rx;59890208;  60000000 ;998
120426000;11;Radio total;60000000;  60000000 ;1000
120433000;3;CPU;60000000;  60000000 ;1000
120433000;3;LPM;0;  60000000 ;0
120433000;3;Deep LPM;0;  60000000 ;0
120433000;3;Radio Tx;136160;  60000000 ;2
120433000;3;Radio Rx;59863840;  60000000 ;997
120433000;3;Radio total;60000000;  60000000 ;1000
120455000;1;CPU;60000000;  60000000 ;1000
120455000;1;LPM;0;  60000000 ;0
120455000;1;Deep LPM;0;  60000000 ;0
120455000;1;Radio Tx;643712;  60000000 ;10
120455000;1;Radio Rx;59356288;  60000000 ;989
120455000;1;Radio total;60000000;  60000000 ;1000
120529000;5;CPU;60000000;  60000000 ;1000
120529000;5;LPM;0;  60000000 ;0
120529000;5;Deep LPM;0;  60000000 ;0
120529000;5;Radio Tx;139304;  60000000 ;2
120529000;5;Radio Rx;59860696;  60000000 ;997
120529000;5;Radio total;60000000;  60000000 ;1000
120599000;12;CPU;60000000;  60000000 ;1000
120599000;12;LPM;0;  60000000 ;0
120599000;12;Deep LPM;0;  60000000 ;0
120599000;12;Radio Tx;33984;  60000000 ;0
120599000;12;Radio Rx;59966016;  60000000 ;999
120599000;12;Radio total;60000000;  60000000 ;1000
120871000;6;CPU;60000000;  60000000 ;1000
120871000;6;LPM;0;  60000000 ;0
120871000;6;Deep LPM;0;  60000000 ;0
120871000;6;Radio Tx;56120;  60000000 ;0
120871000;6;Radio Rx;59943880;  60000000 ;999
120871000;6;Radio total;60000000;  60000000 ;1000
120963000;4;CPU;60000000;  60000000 ;1000
120963000;4;LPM;0;  60000000 ;0
120963000;4;Deep LPM;0;  60000000 ;0
120963000;4;Radio Tx;352040;  60000000 ;5
120963000;4;Radio Rx;59647960;  60000000 ;994
120963000;4;Radio total;60000000;  60000000 ;1000
120997000;2;CPU;60000000;  60000000 ;1000
120997000;2;LPM;0;  60000000 ;0
120997000;2;Deep LPM;0;  60000000 ;0
120997000;2;Radio Tx;1183264;  60000000 ;19
120997000;2;Radio Rx;58816736;  60000000 ;980
120997000;2;Radio total;60000000;  60000000 ;1000
180024000;10;CPU;60000000;  60000000 ;1000
180024000;10;LPM;0;  60000000 ;0
180024000;10;Deep LPM;0;  60000000 ;0
180024000;10;Radio Tx;105704;  60000000 ;1
180024000;10;Radio Rx;59894296;  60000000 ;998
180024000;10;Radio total;60000000;  60000000 ;1000
180132000;13;CPU;60000000;  60000000 ;1000
180132000;13;LPM;0;  60000000 ;0
180132000;13;Deep LPM;0;  60000000 ;0
180132000;13;Radio Tx;1033896;  60000000 ;17
180132000;13;Radio Rx;58966104;  60000000 ;982
180132000;13;Radio total;60000000;  60000000 ;1000
180256000;7;CPU;60000000;  60000000 ;1000
180256000;7;LPM;0;  60000000 ;0
180256000;7;Deep LPM;0;  60000000 ;0
180256000;7;Radio Tx;34008;  60000000 ;0
180256000;7;Radio Rx;59965992;  60000000 ;999
180256000;7;Radio total;60000000;  60000000 ;1000
180409000;9;CPU;60000000;  60000000 ;1000
180409000;9;LPM;0;  60000000 ;0
180409000;9;Deep LPM;0;  60000000 ;0
180409000;9;Radio Tx;103544;  60000000 ;1
180409000;9;Radio Rx;59896456;  60000000 ;998
180409000;9;Radio total;60000000;  60000000 ;1000
180426000;11;CPU;60000000;  60000000 ;1000
180426000;11;LPM;0;  60000000 ;0
180426000;11;Deep LPM;0;  60000000 ;0
180426000;11;Radio Tx;99720;  60000000 ;1
180426000;11;Radio Rx;59900280;  60000000 ;998
180426000;11;Radio total;60000000;  60000000 ;1000
180433000;3;CPU;60000000;  60000000 ;1000
180433000;3;LPM;0;  60000000 ;0
180433000;3;Deep LPM;0;  60000000 ;0
180433000;3;Radio Tx;113296;  60000000 ;1
180433000;3;Radio Rx;59886704;  60000000 ;998
180433000;3;Radio total;60000000;  60000000 ;1000
180455000;1;CPU;60000000;  60000000 ;1000
180455000;1;LPM;0;  60000000 ;0
180455000;1;Deep LPM;0;  60000000 ;0
180455000;1;Radio Tx;583080;  60000000 ;9
180455000;1;Radio Rx;59416920;  60000000 ;990
180455000;1;Radio total;60000000;  60000000 ;1000
180529000;5;CPU;60000000;  60000000 ;1000
180529000;5;LPM;0;  60000000 ;0
180529000;5;Deep LPM;0;  60000000 ;0
180529000;5;Radio Tx;106392;  60000000 ;1
180529000;5;Radio Rx;59893608;  60000000 ;998
180529000;5;Radio total;60000000;  60000000 ;1000
180599000;12;CPU;60000000;  60000000 ;1000
180599000;12;LPM;0;  60000000 ;0
180599000;12;Deep LPM;0;  60000000 ;0
180599000;12;Radio Tx;40664;  60000000 ;0
180599000;12;Radio Rx;59959336;  60000000 ;999
180599000;12;Radio total;60000000;  60000000 ;1000
180871000;6;CPU;60000000;  60000000 ;1000
180871000;6;LPM;0;  60000000 ;0
180871000;6;Deep LPM;0;  60000000 ;0
180871000;6;Radio Tx;37576;  60000000 ;0
180871000;6;Radio Rx;59962424;  60000000 ;999
180871000;6;Radio total;60000000;  60000000 ;1000
180963000;4;CPU;60000000;  60000000 ;1000
180963000;4;LPM;0;  60000000 ;0
180963000;4;Deep LPM;0;  60000000 ;0
180963000;4;Radio Tx;330592;  60000000 ;5
180963000;4;Radio Rx;59669408;  60000000 ;994
180963000;4;Radio total;60000000;  60000000 ;1000
180997000;2;CPU;60000000;  60000000 ;1000
180997000;2;LPM;0;  60000000 ;0
180997000;2;Deep LPM;0;  60000000 ;0
180997000;2;Radio Tx;1176736;  60000000 ;19
180997000;2;Radio Rx;58823264;  60000000 ;980
180997000;2;Radio total;60000000;  60000000 ;1000
240024000;10;CPU;60000000;  60000000 ;1000
240024000;10;LPM;0;  60000000 ;0
240024000;10;Deep LPM;0;  60000000 ;0
240024000;10;Radio Tx;110816;  60000000 ;1
240024000;10;Radio Rx;59889184;  60000000 ;998
240024000;10;Radio total;60000000;  60000000 ;1000
240256000;7;CPU;60000000;  60000000 ;1000
240256000;7;LPM;0;  60000000 ;0
240256000;7;Deep LPM;0;  60000000 ;0
240256000;7;Radio Tx;42736;  60000000 ;0
240256000;7;Radio Rx;59957264;  60000000 ;999
240256000;7;Radio total;60000000;  60000000 ;1000
240426000;11;CPU;60000000;  60000000 ;1000
240426000;11;LPM;0;  60000000 ;0
240426000;11;Deep LPM;0;  60000000 ;0
240426000;11;Radio Tx;99496;  60000000 ;1
240426000;11;Radio Rx;59900504;  60000000 ;998
240426000;11;Radio total;60000000;  60000000 ;1000
240433000;3;CPU;60000000;  60000000 ;1000
240433000;3;LPM;0;  60000000 ;0
240433000;3;Deep LPM;0;  60000000 ;0
240433000;3;Radio Tx;126824;  60000000 ;2
240433000;3;Radio Rx;59873176;  60000000 ;997
240433000;3;Radio total;60000000;  60000000 ;1000
240455000;1;CPU;60000000;  60000000 ;1000
240455000;1;LPM;0;  60000000 ;0
240455000;1;Deep LPM;0;  60000000 ;0
240455000;1;Radio Tx;608456;  60000000 ;10
240455000;1;Radio Rx;59391544;  60000000 ;989
240455000;1;Radio total;60000000;  60000000 ;1000
240529000;5;CPU;60000000;  60000000 ;1000
240529000;5;LPM;0;  60000000 ;0
240529000;5;Deep LPM;0;  60000000 ;0
240529000;5;Radio Tx;122600;  60000000 ;2
240529000;5;Radio Rx;59877400;  60000000 ;997
240529000;5;Radio total;60000000;  60000000 ;1000
240599000;12;CPU;60000000;  60000000 ;1000
240599000;12;LPM;0;  60000000 ;0
240599000;12;Deep LPM;0;  60000000 ;0
240599000;12;Radio Tx;46192;  60000000 ;0
240599000;12;Radio Rx;59953808;  60000000 ;999
240599000;12;Radio total;60000000;  60000000 ;1000
240871000;6;CPU;60000000;  60000000 ;1000
240871000;6;LPM;0;  60000000 ;0
240871000;6;Deep LPM;0;  60000000 ;0
240871000;6;Radio Tx;44288;  60000000 ;0
240871000;6;Radio Rx;59955712;  60000000 ;999
240871000;6;Radio total;60000000;  60000000 ;1000
240963000;4;CPU;60000000;  60000000 ;1000
240963000;4;LPM;0;  60000000 ;0
240963000;4;Deep LPM;0;  60000000 ;0
240963000;4;Radio Tx;334792;  60000000 ;5
240963000;4;Radio Rx;59665208;  60000000 ;994
240963000;4;Radio total;60000000;  60000000 ;1000
240997000;2;CPU;60000000;  60000000 ;1000
240997000;2;LPM;0;  60000000 ;0
240997000;2;Deep LPM;0;  60000000 ;0
240997000;2;Radio Tx;1212040;  60000000 ;20
240997000;2;Radio Rx;58787960;  60000000 ;979
240997000;2;Radio total;60000000;  60000000 ;1000
300024000;10;CPU;60000000;  60000000 ;1000
300024000;10;LPM;0;  60000000 ;0
300024000;10;Deep LPM;0;  60000000 ;0
300024000;10;Radio Tx;100696;  60000000 ;1
300024000;10;Radio Rx;59899304;  60000000 ;998
300024000;10;Radio total;60000000;  60000000 ;1000
300132000;13;CPU;59999600;  59999600 ;1000
300132000;13;LPM;0;  59999600 ;0
300132000;13;Deep LPM;0;  59999600 ;0
300132000;13;Radio Tx;1092352;  59999600 ;18
300132000;13;Radio Rx;58907248;  59999600 ;981
300132000;13;Radio total;59999600;  59999600 ;1000
300256000;7;CPU;60000000;  60000000 ;1000
300256000;7;LPM;0;  60000000 ;0
300256000;7;Deep LPM;0;  60000000 ;0
300256000;7;Radio Tx;39320;  60000000 ;0
300256000;7;Radio Rx;59960680;  60000000 ;999
300256000;7;Radio total;60000000;  60000000 ;1000
300409000;9;CPU;60000000;  60000000 ;1000
300409000;9;LPM;0;  60000000 ;0
300409000;9;Deep LPM;0;  60000000 ;0
300409000;9;Radio Tx;105728;  60000000 ;1
300409000;9;Radio Rx;59894272;  60000000 ;998
300409000;9;Radio total;60000000;  60000000 ;1000
300426000;11;CPU;60000000;  60000000 ;1000
300426000;11;LPM;0;  60000000 ;0
300426000;11;Deep LPM;0;  60000000 ;0
300426000;11;Radio Tx;107200;  60000000 ;1
300426000;11;Radio Rx;59892800;  60000000 ;998
300426000;11;Radio total;60000000;  60000000 ;1000
300433000;3;CPU;60000000;  60000000 ;1000
300433000;3;LPM;0;  60000000 ;0
300433000;3;Deep LPM;0;  60000000 ;0
300433000;3;Radio Tx;137496;  60000000 ;2
300433000;3;Radio Rx;59862504;  60000000 ;997
300433000;3;Radio total;60000000;  60000000 ;1000
300455000;1;CPU;60000000;  60000000 ;1000
300455000;1;LPM;0;  60000000 ;0
300455000;1;Deep LPM;0;  60000000 ;0
300455000;1;Radio Tx;611824;  60000000 ;10
300455000;1;Radio Rx;59388176;  60000000 ;989
300455000;1;Radio total;60000000;  60000000 ;1000
300529000;5;CPU;60000000;  60000000 ;1000
300529000;5;LPM;0;  60000000 ;0
300529000;5;Deep LPM;0;  60000000 ;0
300529000;5;Radio Tx;144896;  60000000 ;2
300529000;5;Radio Rx;59855104;  60000000 ;997
300529000;5;Radio total;60000000;  60000000 ;1000
300599000;12;CPU;60000000;  60000000 ;1000
300599000;12;LPM;0;  60000000 ;0
300599000;12;Deep LPM;0;  60000000 ;0
300599000;12;Radio Tx;41568;  60000000 ;0
300599000;12;Radio Rx;59958432;  60000000 ;999
300599000;12;Radio total;60000000;  60000000 ;1000
300871000;6;CPU;60000000;  60000000 ;1000
300871000;6;LPM;0;  60000000 ;0
300871000;6;Deep LPM;0;  60000000 ;0
300871000;6;Radio Tx;43688;  60000000 ;0
300871000;6;Radio Rx;59956312;  60000000 ;999
300871000;6;Radio total;60000000;  60000000 ;1000
300963000;4;CPU;60000000;  60000000 ;1000
300963000;4;LPM;0;  60000000 ;0
300963000;4;Deep LPM;0;  60000000 ;0
300963000;4;Radio Tx;343088;  60000000 ;5
