Time;MoteID;State;Value;TotalTicks;Permil
180024000;10;CPU;2793888;  60000000 ;46
180024000;10;LPM;57206112;  60000000 ;953
180024000;10;Deep LPM;0;  60000000 ;0
180024000;10;Radio Tx;138728;  60000000 ;2
180024000;10;Radio Rx;59861272;  60000000 ;997
180024000;10;Radio total;60000000;  60000000 ;1000
180132000;13;CPU;2073192;  60000000 ;34
180132000;13;LPM;57926808;  60000000 ;965
180132000;13;Deep LPM;0;  60000000 ;0
180132000;13;Radio Tx;559816;  60000000 ;9
180132000;13;Radio Rx;59440184;  60000000 ;990
180132000;13;Radio total;60000000;  60000000 ;1000
180256000;7;CPU;802152;  60000000 ;13
180256000;7;LPM;59197848;  60000000 ;986
180256000;7;Deep LPM;0;  60000000 ;0
180256000;7;Radio Tx;72400;  60000000 ;1
180256000;7;Radio Rx;59927600;  60000000 ;998
180256000;7;Radio total;60000000;  60000000 ;1000
180409000;9;CPU;4076384;  60000000 ;67
180409000;9;LPM;55923616;  60000000 ;932
180409000;9;Deep LPM;0;  60000000 ;0
180409000;9;Radio Tx;1911880;  60000000 ;31
180409000;9;Radio Rx;58088120;  60000000 ;968
180409000;9;Radio total;60000000;  60000000 ;1000
180426000;11;CPU;2794488;  60000000 ;46
180426000;11;LPM;57205512;  60000000 ;953
180426000;11;Deep LPM;0;  60000000 ;0
180426000;11;Radio Tx;139728;  60000000 ;2
180426000;11;Radio Rx;59860272;  60000000 ;997
180426000;11;Radio total;60000000;  60000000 ;1000
180433000;3;CPU;1460112;  60000000 ;24
180433000;3;LPM;58539888;  60000000 ;975
180433000;3;Deep LPM;0;  60000000 ;0
180433000;3;Radio Tx;252072;  60000000 ;4
180433000;3;Radio Rx;59747928;  60000000 ;995
180433000;3;Radio total;60000000;  60000000 ;1000
180455000;1;CPU;2731856;  60000000 ;45
180455000;1;LPM;57268144;  60000000 ;954
180455000;1;Deep LPM;0;  60000000 ;0
180455000;1;Radio Tx;1291848;  60000000 ;21
180455000;1;Radio Rx;58708152;  60000000 ;978
180455000;1;Radio total;60000000;  60000000 ;1000
180529000;5;CPU;977368;  60000000 ;16
180529000;5;LPM;59022632;  60000000 ;983
180529000;5;Deep LPM;0;  60000000 ;0
180529000;5;Radio Tx;316120;  60000000 ;5
180529000;5;Radio Rx;59683880;  60000000 ;994
180529000;5;Radio total;60000000;  60000000 ;1000
180599000;12;CPU;4084832;  60000000 ;68
180599000;12;LPM;55915168;  60000000 ;931
180599000;12;Deep LPM;0;  60000000 ;0
180599000;12;Radio Tx;1915536;  60000000 ;31
180599000;12;Radio Rx;58084464;  60000000 ;968
180599000;12;Radio total;60000000;  60000000 ;1000
180871000;6;CPU;395096;  60000000 ;6
180871000;6;LPM;59604904;  60000000 ;993
