Time;MoteID;State;Value;TotalTicks;Permil
180024000;10;CPU;2818704;  60000000 ;46
180024000;10;LPM;57181296;  60000000 ;953
180024000;10;Deep LPM;0;  60000000 ;0
180024000;10;Radio Tx;147048;  60000000 ;2
180024000;10;Radio Rx;59852952;  60000000 ;997
180024000;10;Radio total;60000000;  60000000 ;1000
180132000;13;CPU;1985232;  60000000 ;33
180132000;13;LPM;58014768;  60000000 ;966
180132000;13;Deep LPM;0;  60000000 ;0
180132000;13;Radio Tx;533432;  60000000 ;8
180132000;13;Radio Rx;59466568;  60000000 ;991
180132000;13;Radio total;60000000;  60000000 ;1000
180256000;7;CPU;1108360;  60000000 ;18
180256000;7;LPM;58891640;  60000000 ;981
180256000;7;Deep LPM;0;  60000000 ;0
180256000;7;Radio Tx;277296;  60000000 ;4
180256000;7;Radio Rx;59722704;  60000000 ;995
180256000;7;Radio total;60000000;  60000000 ;1000
180409000;9;CPU;4080504;  60000000 ;68
180409000;9;LPM;55919496;  60000000 ;931
180409000;9;Deep LPM;0;  60000000 ;0
180409000;9;Radio Tx;1902496;  60000000 ;31
180409000;9;Radio Rx;58097504;  60000000 ;968
180409000;9;Radio total;60000000;  60000000 ;1000
180426000;11;CPU;2768832;  60000000 ;46
180426000;11;LPM;57231168;  60000000 ;953
180426000;11;Deep LPM;0;  60000000 ;0
180426000;11;Radio Tx;148248;  60000000 ;2
180426000;11;Radio Rx;59851752;  60000000 ;997
180426000;11;Radio total;60000000;  60000000 ;1000
180433000;3;CPU;1293696;  60000000 ;21
180433000;3;LPM;58706304;  60000000 ;978
180433000;3;Deep LPM;0;  60000000 ;0
180433000;3;Radio Tx;88704;  60000000 ;1
180433000;3;Radio Rx;59911296;  60000000 ;998
180433000;3;Radio total;60000000;  60000000 ;1000
180455000;1;CPU;2676392;  60000000 ;44
180455000;1;LPM;57323608;  60000000 ;955
180455000;1;Deep LPM;0;  60000000 ;0
180455000;1;Radio Tx;1256992;  60000000 ;20
180455000;1;Radio Rx;58743008;  60000000 ;979
180455000;1;Radio total;60000000;  60000000 ;1000
180529000;5;CPU;863784;  60000000 ;14
180529000;5;LPM;59136216;  60000000 ;985
180529000;5;Deep LPM;0;  60000000 ;0
180529000;5;Radio Tx;251880;  60000000 ;4
180529000;5;Radio Rx;59748120;  60000000 ;995
180529000;5;Radio total;60000000;  60000000 ;1000
180599000;12;CPU;4083760;  60000000 ;68
180599000;12;LPM;55916240;  60000000 ;931
180599000;12;Deep LPM;0;  60000000 ;0
180599000;12;Radio Tx;1909472;  60000000 ;31
180599000;12;Radio Rx;58090528;  60000000 ;968
180599000;12;Radio total;60000000;  60000000 ;1000
180871000;6;CPU;621920;  60000000 ;10
180871000;6;LPM;59378080;  60000000 ;989
180871000;6;Deep LPM;0;  60000000 ;0
180871000;6;Radio Tx;77136;  60000000 ;1
180871000;6;Radio Rx;59922864;  60000000 ;998
180871000;6;Radio total;60000000;  60000000 ;1000
180963000;4;CPU;2008248;  60000000 ;33
180963000;4;LPM;57991752;  60000000 ;966
180963000;4;Deep LPM;0;  60000000 ;0
180963000;4;Radio Tx;723520;  60000000 ;12
180963000;4;Radio Rx;59276480;  60000000 ;987
180963000;4;Radio total;60000000;  60000000 ;1000
180997000;2;CPU;2943824;  60000000 ;49
180997000;2;LPM;57056176;  60000000 ;950
180997000;2;Deep LPM;0;  60000000 ;0
180997000;2;Radio Tx;658560;  60000000 ;10
180997000;2;Radio Rx;59341440;  60000000 ;989
180997000;2;Radio total;60000000;  60000000 ;1000
240024000;10;CPU;2788472;  60000000 ;46
240024000;10;LPM;57211528;  60000000 ;953
240024000;10;Deep LPM;0;  60000000 ;0
240024000;10;Radio Tx;152024;  60000000 ;2
240024000;10;Radio Rx;59847976;  60000000 ;997
240024000;10;Radio total;60000000;  60000000 ;1000
240132000;13;CPU;1968336;  60000000 ;32
240132000;13;LPM;58031664;  60000000 ;967
240132000;13;Deep LPM;0;  60000000 ;0
240132000;13;Radio Tx;535048;  60000000 ;8
240132000;13;Radio Rx;59314952;  60000000 ;988
240132000;13;Radio total;59850000;  60000000 ;997
240256000;7;CPU;1027360;  60000000 ;17
240256000;7;LPM;58972640;  60000000 ;982
240256000;7;Deep LPM;0;  60000000 ;0
240256000;7;Radio Tx;237280;  60000000 ;3
240256000;7;Radio Rx;59612720;  60000000 ;993
240256000;7;Radio total;59850000;  60000000 ;997
240426000;11;CPU;2709000;  60000000 ;45
240426000;11;LPM;57291000;  60000000 ;954
240426000;11;Deep LPM;0;  60000000 ;0
240426000;11;Radio Tx;138288;  60000000 ;2
240426000;11;Radio Rx;59861712;  60000000 ;997
240426000;11;Radio total;60000000;  60000000 ;1000
240433000;3;CPU;1260400;  60000000 ;21
240433000;3;LPM;58739600;  60000000 ;978
240433000;3;Deep LPM;0;  60000000 ;0
240433000;3;Radio Tx;81232;  60000000 ;1
240433000;3;Radio Rx;59768768;  60000000 ;996
240433000;3;Radio total;59850000;  60000000 ;997
240455000;1;CPU;2712064;  60000000 ;45
240455000;1;LPM;57287936;  60000000 ;954
240455000;1;Deep LPM;0;  60000000 ;0
240455000;1;Radio Tx;1283536;  60000000 ;21
240455000;1;Radio Rx;58566464;  60000000 ;976
240455000;1;Radio total;59850000;  60000000 ;997
240529000;5;CPU;811216;  60000000 ;13
240529000;5;LPM;59188784;  60000000 ;986
240529000;5;Deep LPM;0;  60000000 ;0
240529000;5;Radio Tx;220760;  60000000 ;3
240529000;5;Radio Rx;59779240;  60000000 ;996
240529000;5;Radio total;60000000;  60000000 ;1000
240599000;12;CPU;4129600;  60000000 ;68
240599000;12;LPM;55870400;  60000000 ;931
240599000;12;Deep LPM;0;  60000000 ;0
240599000;12;Radio Tx;1940336;  60000000 ;32
240599000;12;Radio Rx;57909664;  60000000 ;965
240599000;12;Radio total;59850000;  60000000 ;997
240871000;6;CPU;636736;  60000000 ;10
240871000;6;LPM;59363264;  60000000 ;989
240871000;6;Deep LPM;0;  60000000 ;0
240871000;6;Radio Tx;97152;  60000000 ;1
240871000;6;Radio Rx;59752848;  60000000 ;995
240871000;6;Radio total;59850000;  60000000 ;997
240963000;4;CPU;2073496;  60000000 ;34
240963000;4;LPM;57926504;  60000000 ;965
240963000;4;Deep LPM;0;  60000000 ;0
240963000;4;Radio Tx;763120;  60000000 ;12
240963000;4;Radio Rx;59086880;  60000000 ;984
240963000;4;Radio total;59850000;  60000000 ;997
240997000;2;CPU;2911160;  60000000 ;48
240997000;2;LPM;57088840;  60000000 ;951
240997000;2;Deep LPM;0;  60000000 ;0
240997000;2;Radio Tx;662032;  60000000 ;11
240997000;2;Radio Rx;59187968;  60000000 ;986
240997000;2;Radio total;59850000;  60000000 ;997
300024000;10;CPU;2799040;  60000000 ;46
