Time;MoteID;State;Value;TotalTicks;Permil
180024000;10;CPU;2708872;  60000000 ;45
180024000;10;LPM;57291128;  60000000 ;954
180024000;10;Deep LPM;0;  60000000 ;0
180024000;10;Radio Tx;90168;  60000000 ;1
180024000;10;Radio Rx;59909832;  60000000 ;998
180024000;10;Radio total;60000000;  60000000 ;1000
180132000;13;CPU;2075152;  60000000 ;34
180132000;13;LPM;57924848;  60000000 ;965
180132000;13;Deep LPM;0;  60000000 ;0
180132000;13;Radio Tx;575600;  60000000 ;9
180132000;13;Radio Rx;59124400;  60000000 ;985
180132000;13;Radio total;59700000;  60000000 ;995
180256000;7;CPU;1023312;  60000000 ;17
180256000;7;LPM;58976688;  60000000 ;982
180256000;7;Deep LPM;0;  60000000 ;0
180256000;7;Radio Tx;100040;  60000000 ;1
180256000;7;Radio Rx;59599960;  60000000 ;993
180256000;7;Radio total;59700000;  60000000 ;995
180409000;9;CPU;4882024;  60000000 ;81
180409000;9;LPM;55117976;  60000000 ;918
180409000;9;Deep LPM;0;  60000000 ;0
180409000;9;Radio Tx;2488480;  60000000 ;41
180409000;9;Radio Rx;57211520;  60000000 ;953
180409000;9;Radio total;59700000;  60000000 ;995
180426000;11;CPU;2699792;  60000000 ;44
180426000;11;LPM;57300208;  60000000 ;955
180426000;11;Deep LPM;0;  60000000 ;0
180426000;11;Radio Tx;82120;  60000000 ;1
180426000;11;Radio Rx;59917880;  60000000 ;998
180426000;11;Radio total;60000000;  60000000 ;1000
180433000;3;CPU;1623168;  60000000 ;27
180433000;3;LPM;58376832;  60000000 ;972
180433000;3;Deep LPM;0;  60000000 ;0
180433000;3;Radio Tx;257016;  60000000 ;4
180433000;3;Radio Rx;59442984;  60000000 ;990
180433000;3;Radio total;59700000;  60000000 ;995
180455000;1;CPU;2720928;  60000000 ;45
180455000;1;LPM;57279072;  60000000 ;954
180455000;1;Deep LPM;0;  60000000 ;0
180455000;1;Radio Tx;1302832;  60000000 ;21
180455000;1;Radio Rx;58397168;  60000000 ;973
180455000;1;Radio total;59700000;  60000000 ;995
180529000;5;CPU;812072;  60000000 ;13
180529000;5;LPM;59187928;  60000000 ;986
180529000;5;Deep LPM;0;  60000000 ;0
180529000;5;Radio Tx;231520;  60000000 ;3
180529000;5;Radio Rx;59168480;  60000000 ;986
180529000;5;Radio total;59400000;  60000000 ;990
180599000;12;CPU;4713128;  60000000 ;78
180599000;12;LPM;55286872;  60000000 ;921
180599000;12;Deep LPM;0;  60000000 ;0
180599000;12;Radio Tx;2390192;  60000000 ;39
180599000;12;Radio Rx;57309808;  60000000 ;955
180599000;12;Radio total;59700000;  60000000 ;995
180871000;6;CPU;387368;  60000000 ;6
180871000;6;LPM;59612632;  60000000 ;993
180871000;6;Deep LPM;0;  60000000 ;0
180871000;6;Radio Tx;95128;  60000000 ;1
180871000;6;Radio Rx;57962192;  60000000 ;966
180871000;6;Radio total;58057320;  60000000 ;967
180963000;4;CPU;2109072;  60000000 ;35
180963000;4;LPM;57890928;  60000000 ;964
180963000;4;Deep LPM;0;  60000000 ;0
180963000;4;Radio Tx;681248;  60000000 ;11
180963000;4;Radio Rx;59018752;  60000000 ;983
180963000;4;Radio total;59700000;  60000000 ;995
180997000;2;CPU;2418584;  60000000 ;40
180997000;2;LPM;57581416;  60000000 ;959
180997000;2;Deep LPM;0;  60000000 ;0
180997000;2;Radio Tx;67560;  60000000 ;1
180997000;2;Radio Rx;59632440;  60000000 ;993
180997000;2;Radio total;59700000;  60000000 ;995
240024000;10;CPU;2649160;  60000000 ;44
240024000;10;LPM;57350840;  60000000 ;955
240024000;10;Deep LPM;0;  60000000 ;0
240024000;10;Radio Tx;71472;  60000000 ;1
240024000;10;Radio Rx;59928528;  60000000 ;998
240024000;10;Radio total;60000000;  60000000 ;1000
240132000;13;CPU;2163352;  60000000 ;36
240132000;13;LPM;57836648;  60000000 ;963
240132000;13;Deep LPM;0;  60000000 ;0
240132000;13;Radio Tx;608304;  60000000 ;10
240132000;13;Radio Rx;59391696;  60000000 ;989
240132000;13;Radio total;60000000;  60000000 ;1000
240256000;7;CPU;1002264;  60000000 ;16
240256000;7;LPM;58997736;  60000000 ;983
240256000;7;Deep LPM;0;  60000000 ;0
240256000;7;Radio Tx;88024;  60000000 ;1
240256000;7;Radio Rx;59623256;  60000000 ;993
240256000;7;Radio total;59711280;  60000000 ;995
240426000;11;CPU;2635528;  60000000 ;43
240426000;11;LPM;57364472;  60000000 ;956
240426000;11;Deep LPM;0;  60000000 ;0
240426000;11;Radio Tx;63176;  60000000 ;1
240426000;11;Radio Rx;59936824;  60000000 ;998
240426000;11;Radio total;60000000;  60000000 ;1000
240433000;3;CPU;1615056;  60000000 ;26
240433000;3;LPM;58384944;  60000000 ;973
240433000;3;Deep LPM;0;  60000000 ;0
240433000;3;Radio Tx;224848;  60000000 ;3
240433000;3;Radio Rx;59475152;  60000000 ;991
240433000;3;Radio total;59700000;  60000000 ;995
240455000;1;CPU;2812368;  60000000 ;46
240455000;1;LPM;57187632;  60000000 ;953
240455000;1;Deep LPM;0;  60000000 ;0
240455000;1;Radio Tx;1350976;  60000000 ;22
240455000;1;Radio Rx;58499024;  60000000 ;974
240455000;1;Radio total;59850000;  60000000 ;997
