Time;MoteID;State;Value;TotalTicks;Permil
180426000;10;CPU;334224;  60000000 ;5
180426000;10;LPM;59665776;  60000000 ;994
180426000;10;Deep LPM;0;  60000000 ;0
180426000;10;Radio Tx;145424;  60000000 ;2
180426000;10;Radio Rx;53007784;  60000000 ;883
180426000;10;Radio total;53153208;  60000000 ;885
180599000;11;CPU;655408;  60000000 ;10
180599000;11;LPM;59344592;  60000000 ;989
180599000;11;Deep LPM;0;  60000000 ;0
180599000;11;Radio Tx;313112;  60000000 ;5
180599000;11;Radio Rx;58242432;  60000000 ;970
180599000;11;Radio total;58555544;  60000000 ;975
240426000;10;CPU;322288;  60000000 ;5
240426000;10;LPM;59677712;  60000000 ;994
240426000;10;Deep LPM;0;  60000000 ;0
240426000;10;Radio Tx;141792;  60000000 ;2
240426000;10;Radio Rx;52707848;  60000000 ;878
240426000;10;Radio total;52849640;  60000000 ;880
240599000;11;CPU;525752;  60000000 ;8
240599000;11;LPM;59474248;  60000000 ;991
240599000;11;Deep LPM;0;  60000000 ;0
240599000;11;Radio Tx;237816;  60000000 ;3
240599000;11;Radio Rx;58127224;  60000000 ;968
240599000;11;Radio total;58365040;  60000000 ;972
300426000;10;CPU;405640;  60000000 ;6
300426000;10;LPM;59594360;  60000000 ;993
300426000;10;Deep LPM;0;  60000000 ;0
300426000;10;Radio Tx;195792;  60000000 ;3
300426000;10;Radio Rx;54200960;  60000000 ;903
300426000;10;Radio total;54396752;  60000000 ;906
300599000;11;CPU;660928;  60000000 ;11
300599000;11;LPM;59339072;  60000000 ;988
300599000;11;Deep LPM;0;  60000000 ;0
300599000;11;Radio Tx;297232;  60000000 ;4
300599000;11;Radio Rx;58653672;  60000000 ;977
300599000;11;Radio total;58950904;  60000000 ;982
360426000;10;CPU;281608;  60000000 ;4
360426000;10;LPM;59718392;  60000000 ;995
360426000;10;Deep LPM;0;  60000000 ;0
360426000;10;Radio Tx;112960;  60000000 ;1
360426000;10;Radio Rx;56452080;  60000000 ;940
360426000;10;Radio total;56565040;  60000000 ;942
360599000;11;CPU;954104;  60000000 ;15
360599000;11;LPM;59045896;  60000000 ;984
360599000;11;Deep LPM;0;  60000000 ;0
360599000;11;Radio Tx;456848;  60000000 ;7
360599000;11;Radio Rx;59254432;  60000000 ;987
360599000;11;Radio total;59711280;  60000000 ;995
420426000;10;CPU;179896;  60000000 ;2
420426000;10;LPM;59820104;  60000000 ;997
420426000;10;Deep LPM;0;  60000000 ;0
420426000;10;Radio Tx;56080;  60000000 ;0
420426000;10;Radio Rx;55743920;  60000000 ;929
420426000;10;Radio total;55800000;  60000000 ;930
420599000;11;CPU;761312;  60000000 ;12
420599000;11;LPM;59238688;  60000000 ;987
420599000;11;Deep LPM;0;  60000000 ;0
420599000;11;Radio Tx;356816;  60000000 ;5
420599000;11;Radio Rx;58593184;  60000000 ;976
420599000;11;Radio total;58950000;  60000000 ;982
480426000;10;CPU;207944;  60000000 ;3
480426000;10;LPM;59792056;  60000000 ;996
480426000;10;Deep LPM;0;  60000000 ;0
480426000;10;Radio Tx;74408;  60000000 ;1
480426000;10;Radio Rx;54986872;  60000000 ;916
480426000;10;Radio total;55061280;  60000000 ;917
480599000;11;CPU;778808;  60000000 ;12
480599000;11;LPM;59221192;  60000000 ;987
480599000;11;Deep LPM;0;  60000000 ;0
480599000;11;Radio Tx;361896;  60000000 ;6
480599000;11;Radio Rx;59638104;  60000000 ;993
480599000;11;Radio total;60000000;  60000000 ;1000
540426000;10;CPU;281024;  60000000 ;4
540426000;10;LPM;59718976;  60000000 ;995
540426000;10;Deep LPM;0;  60000000 ;0
540426000;10;Radio Tx;120448;  60000000 ;2
540426000;10;Radio Rx;56169912;  60000000 ;936
540426000;10;Radio total;56290360;  60000000 ;938
540599000;11;CPU;807496;  60000000 ;13
540599000;11;LPM;59192504;  60000000 ;986
540599000;11;Deep LPM;0;  60000000 ;0
540599000;11;Radio Tx;377088;  60000000 ;6
540599000;11;Radio Rx;57369432;  60000000 ;956
540599000;11;Radio total;57746520;  60000000 ;962
600426000;10;CPU;303360;  60000000 ;5
600426000;10;LPM;59696640;  60000000 ;994
600426000;10;Deep LPM;0;  60000000 ;0
600426000;10;Radio Tx;135048;  60000000 ;2
600426000;10;Radio Rx;51076720;  60000000 ;851
600426000;10;Radio total;51211768;  60000000 ;853
600599000;11;CPU;903488;  60000000 ;15
600599000;11;LPM;59096512;  60000000 ;984
600599000;11;Deep LPM;0;  60000000 ;0
600599000;11;Radio Tx;436016;  60000000 ;7
600599000;11;Radio Rx;57655320;  60000000 ;960
600599000;11;Radio total;58091336;  60000000 ;968
660426000;10;CPU;276944;  60000000 ;4
660426000;10;LPM;59723056;  60000000 ;995
660426000;10;Deep LPM;0;  60000000 ;0
660426000;10;Radio Tx;102744;  60000000 ;1
660426000;10;Radio Rx;54814968;  60000000 ;913
660426000;10;Radio total;54917712;  60000000 ;915
660599000;11;CPU;870832;  60000000 ;14
660599000;11;LPM;59129168;  60000000 ;985
660599000;11;Deep LPM;0;  60000000 ;0
660599000;11;Radio Tx;410496;  60000000 ;6
660599000;11;Radio Rx;57789504;  60000000 ;963
660599000;11;Radio total;58200000;  60000000 ;970
720426000;10;CPU;229032;  60000000 ;3
720426000;10;LPM;59770968;  60000000 ;996
720426000;10;Deep LPM;0;  60000000 ;0
720426000;10;Radio Tx;71592;  60000000 ;1
720426000;10;Radio Rx;58733736;  60000000 ;978
720426000;10;Radio total;58805328;  60000000 ;980
720599000;11;CPU;817384;  60000000 ;13
720599000;11;LPM;59182616;  60000000 ;986
720599000;11;Deep LPM;0;  60000000 ;0
720599000;11;Radio Tx;383600;  60000000 ;6
720599000;11;Radio Rx;58716400;  60000000 ;978
720599000;11;Radio total;59100000;  60000000 ;985
780426000;10;CPU;214000;  60000000 ;3
780426000;10;LPM;59786000;  60000000 ;996
780426000;10;Deep LPM;0;  60000000 ;0
780426000;10;Radio Tx;80272;  60000000 ;1
780426000;10;Radio Rx;52437864;  60000000 ;873
780426000;10;Radio total;52518136;  60000000 ;875
780599000;11;CPU;811048;  60000000 ;13
780599000;11;LPM;59188952;  60000000 ;986
780599000;11;Deep LPM;0;  60000000 ;0
780599000;11;Radio Tx;376992;  60000000 ;6
780599000;11;Radio Rx;56623008;  60000000 ;943
780599000;11;Radio total;57000000;  60000000 ;950
840426000;10;CPU;277240;  60000000 ;4
840426000;10;LPM;59722760;  60000000 ;995
840426000;10;Deep LPM;0;  60000000 ;0
840426000;10;Radio Tx;113728;  60000000 ;1
840426000;10;Radio Rx;56178984;  60000000 ;936
840426000;10;Radio total;56292712;  60000000 ;938
840599000;11;CPU;827496;  60000000 ;13
840599000;11;LPM;59172504;  60000000 ;986
840599000;11;Deep LPM;0;  60000000 ;0
840599000;11;Radio Tx;386056;  60000000 ;6
840599000;11;Radio Rx;58263944;  60000000 ;971
840599000;11;Radio total;58650000;  60000000 ;977
900426000;10;CPU;297472;  60000000 ;4
900426000;10;LPM;59702528;  60000000 ;995
900426000;10;Deep LPM;0;  60000000 ;0
900426000;10;Radio Tx;128264;  60000000 ;2
900426000;10;Radio Rx;56161416;  60000000 ;936
900426000;10;Radio total;56289680;  60000000 ;938
900599000;11;CPU;900312;  60000000 ;15
900599000;11;LPM;59099688;  60000000 ;984
900599000;11;Deep LPM;0;  60000000 ;0
900599000;11;Radio Tx;427760;  60000000 ;7
900599000;11;Radio Rx;58529824;  60000000 ;975
900599000;11;Radio total;58957584;  60000000 ;982
960426000;10;CPU;260672;  60000000 ;4
960426000;10;LPM;59739328;  60000000 ;995
960426000;10;Deep LPM;0;  60000000 ;0
960426000;10;Radio Tx;108872;  60000000 ;1
960426000;10;Radio Rx;51680944;  60000000 ;861
960426000;10;Radio total;51789816;  60000000 ;863
960599000;11;CPU;945464;  60000000 ;15
960599000;11;LPM;59054536;  60000000 ;984
960599000;11;Deep LPM;0;  60000000 ;0
960599000;11;Radio Tx;461888;  60000000 ;7
960599000;11;Radio Rx;58560048;  60000000 ;976
960599000;11;Radio total;59021936;  60000000 ;983
1020426000;10;CPU;294152;  60000000 ;4
1020426000;10;LPM;59705848;  60000000 ;995
1020426000;10;Deep LPM;0;  60000000 ;0
1020426000;10;Radio Tx;117752;  60000000 ;1
1020426000;10;Radio Rx;52101112;  60000000 ;868
1020426000;10;Radio total;52218864;  60000000 ;870
1020599000;11;CPU;884272;  60000000 ;14
1020599000;11;LPM;59115728;  60000000 ;985
1020599000;11;Deep LPM;0;  60000000 ;0
1020599000;11;Radio Tx;420416;  60000000 ;7
1020599000;11;Radio Rx;57479584;  60000000 ;957
1020599000;11;Radio total;57900000;  60000000 ;965
1080426000;10;CPU;211136;  60000000 ;3
1080426000;10;LPM;59788864;  60000000 ;996
1080426000;10;Deep LPM;0;  60000000 ;0
1080426000;10;Radio Tx;81408;  60000000 ;1
1080426000;10;Radio Rx;52866496;  60000000 ;881
1080426000;10;Radio total;52947904;  60000000 ;882
1080599000;11;CPU;823536;  60000000 ;13
1080599000;11;LPM;59176464;  60000000 ;986
1080599000;11;Deep LPM;0;  60000000 ;0
1080599000;11;Radio Tx;385552;  60000000 ;6
1080599000;11;Radio Rx;58714448;  60000000 ;978
1080599000;11;Radio total;59100000;  60000000 ;985
1140426000;10;CPU;216560;  60000000 ;3
1140426000;10;LPM;59783440;  60000000 ;996
1140426000;10;Deep LPM;0;  60000000 ;0
1140426000;10;Radio Tx;81408;  60000000 ;1
1140426000;10;Radio Rx;57691344;  60000000 ;961
1140426000;10;Radio total;57772752;  60000000 ;962
1140599000;11;CPU;786192;  60000000 ;13
1140599000;11;LPM;59213808;  60000000 ;986
1140599000;11;Deep LPM;0;  60000000 ;0
1140599000;11;Radio Tx;366864;  60000000 ;6
1140599000;11;Radio Rx;57983136;  60000000 ;966
1140599000;11;Radio total;58350000;  60000000 ;972
1200426000;10;CPU;325360;  60000000 ;5
1200426000;10;LPM;59674640;  60000000 ;994
1200426000;10;Deep LPM;0;  60000000 ;0
1200426000;10;Radio Tx;130568;  60000000 ;2
1200426000;10;Radio Rx;55386504;  60000000 ;923
1200426000;10;Radio total;55517072;  60000000 ;925
1200599000;11;CPU;840512;  60000000 ;14
1200599000;11;LPM;59159488;  60000000 ;985
1200599000;11;Deep LPM;0;  60000000 ;0
1200599000;11;Radio Tx;393064;  60000000 ;6
1200599000;11;Radio Rx;59456936;  60000000 ;990
1200599000;11;Radio total;59850000;  60000000 ;997
1260426000;10;CPU;209048;  60000000 ;3
1260426000;10;LPM;59790952;  60000000 ;996
1260426000;10;Deep LPM;0;  60000000 ;0
1260426000;10;Radio Tx;83648;  60000000 ;1
1260426000;10;Radio Rx;49127728;  60000000 ;818
1260426000;10;Radio total;49211376;  60000000 ;820
1260599000;11;CPU;794800;  60000000 ;13
1260599000;11;LPM;59205200;  60000000 ;986
1260599000;11;Deep LPM;0;  60000000 ;0
1260599000;11;Radio Tx;375552;  60000000 ;6
1260599000;11;Radio Rx;59034904;  60000000 ;983
